"date","lip","lcpi","lpcom","unemp","ffr","gs1","ebp","shock_wieland","lip_lag1","lip_lag2","unemp_lag1","unemp_lag2","lcpi_lag1","lcpi_lag2","lpcom_lag1","lpcom_lag2","ffr_lag1","ffr_lag2","shock_wieland_lag1","dep_lead","shock_bauer","shock_bs_lag1","shock_bauer_lag1","shock_bauer_lag2"
1993-01-01,4.1684233672838,4.96144504990548,477.068462446567,7.3,3.02,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35045211473775,0,NA,NA,NA
1993-02-01,4.17325124024285,4.9635436865624,477.40687224499,7.1,3.03,3.39,NA,NA,4.1684233672838,NA,7.3,NA,4.96144504990548,NA,477.068462446567,NA,3.02,NA,NA,4.36214912957443,0.00502238820653415,0,0,NA
1993-03-01,4.17227272813486,4.96494033483413,477.659930161562,7,3.07,3.33,NA,NA,4.17325124024285,4.1684233672838,7.1,7.3,4.9635436865624,4.96144504990548,477.40687224499,477.068462446567,3.03,3.02,NA,4.3684308798294,-0.0176749514631574,0.00502238820653415,0.00502238820653415,0
1993-04-01,4.17503782746793,4.96842344528695,478.164132910387,7.1,2.96,3.24,NA,NA,4.17227272813486,4.17325124024285,7,7.1,4.96494033483413,4.9635436865624,477.659930161562,477.40687224499,3.07,3.03,NA,4.3692554288915,0,-0.0176749514631574,-0.0176749514631574,0.00502238820653415
1993-05-01,4.17131486257462,4.97120122485085,478.498861256393,7.1,3,3.36,NA,NA,4.17503782746793,4.17227272813486,7.1,7,4.96842344528695,4.96494033483413,478.164132910387,477.659930161562,2.96,3.07,NA,4.37487109475171,-0.0114759260279176,0,0,-0.0176749514631574
1993-06-01,4.17358079093273,4.97189446577983,478.331637137157,7,3.04,3.54,NA,NA,4.17131486257462,4.17503782746793,7.1,7.1,4.97120122485085,4.96842344528695,478.498861256393,478.164132910387,3,2.96,NA,4.37948716294329,0,-0.0114759260279176,-0.0114759260279176,0
1993-07-01,4.17614265138858,4.97327950755249,478.080275463125,6.9,3.06,3.47,NA,NA,4.17358079093273,4.17131486257462,7,7.1,4.97189446577983,4.97120122485085,478.331637137157,478.498861256393,3.04,3,NA,4.38784219149456,-0.00577698362427683,0,0,-0.0114759260279176
1993-08-01,4.17503475254119,4.97535347995162,477.659930161562,6.8,3.03,3.44,NA,NA,4.17614265138858,4.17358079093273,6.9,7,4.97327950755249,4.97189446577983,478.080275463125,478.331637137157,3.06,3.04,NA,4.39793074123117,-0.000369511894494484,-0.00577698362427683,-0.00577698362427683,0
1993-09-01,4.18013839274721,4.97673374242057,477.659930161562,6.7,3.09,3.36,NA,NA,4.17503475254119,4.17614265138858,6.8,6.9,4.97535347995162,4.97327950755249,477.659930161562,478.080275463125,3.03,3.06,NA,4.40711794826025,0.011333352171763,-0.000369511894494484,-0.000369511894494484,-0.00577698362427683
1993-10-01,4.18757682707994,4.98086313576259,477.996347636125,6.8,2.99,3.39,NA,NA,4.18013839274721,4.17503475254119,6.7,6.8,4.97673374242057,4.97535347995162,477.659930161562,477.659930161562,3.09,3.03,NA,4.41601251612704,0,0.011333352171763,0.011333352171763,-0.000369511894494484
